Year,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
Philippines,488,600,773,500,1340,1080,1079,1135,927,721
Poland,440,348,337,309,602,571,635,519,494,328
Portugal,86,145,106,70,234,220,205,194,215,131
Romania,153,232,309,196,287,255,630,869,1220,865
Russia,175,195,183,194,470,565,564,526,414,320
Rwanda,6,5,4,8,19,23,12,19,13,21
Saint Kitts-Nevis,11,20,24,9,41,45,30,46,49,32
Saint Lucia,22,44,45,37,79,71,82,58,57,45
Saint Vincent and the Grenadines,8,28,14,9,69,63,57,50,41,43
Samoa,30,20,21,25,33,57,26,36,32,37
Saudi Arabia,72,40,130,67,87,70,148,127,198,264
Senegal,69,66,98,92,158,157,170,158,164,132
Serbia,NA,NA,NA,NA,4,6,NA,22,13,35
Serbia and Montenegro,150,122,176,222,302,219,174,142,86,64
Sierra Leone,31,63,75,98,158,192,147,171,162,145
Singapore,18,13,11,14,21,21,21,12,7,16
Slovakia,56,32,15,23,45,40,51,29,44,23
Slovenia,0,4,3,NA,4,11,9,5,7,0
Somalia,50,92,122,98,201,237,277,336,316,214
South Africa,83,138,108,83,124,149,144,123,95,79
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,3,42
"Soviet Union, former",20,42,82,7,110,62,91,92,115,89
Spain,41,43,32,28,91,92,99,126,139,98
Sri Lanka,26,46,67,47,107,135,284,316,223,134
Sudan,50,81,74,38,164,202,252,226,253,168
Suriname,10,8,20,10,28,28,18,19,20,15
Sweden,18,23,10,19,30,44,37,42,33,27
Switzerland,11,10,8,12,22,19,22,19,14,11
Syria,106,113,151,101,101,91,99,114,57,72
Taiwan,37,51,44,34,52,61,55,58,46,55
Tajikistan,8,8,13,15,43,90,80,82,51,33
Tanzania,44,37,49,45,64,81,82,64,73,72
Thailand,123,134,339,117,381,304,300,257,276,246
Togo,16,12,29,43,53,44,40,43,46,20
Tonga,52,33,43,27,99,76,100,82,86,49
Trinidad and Tobago,181,448,320,210,691,729,624,596,498,419
Tunisia,79,85,86,60,53,47,61,43,33,24
Turkey,232,392,250,221,310,317,326,224,265,216
Turkmenistan,4,0,6,9,11,20,29,8,10,4
Turks and Caicos Islands,0,5,NA,3,17,11,19,11,19,13
Uganda,17,17,36,49,59,65,54,66,44,49
Ukraine,137,154,193,177,403,374,392,393,394,290
United Arab Emirates,9,6,35,8,4,7,15,3,10,11
United Kingdom,326,297,305,169,510,486,533,518,448,388
Uruguay,114,128,110,109,200,221,190,239,144,116
Uzbekistan,73,130,147,96,157,198,210,135,129,116
Venezuela,249,301,255,314,750,862,741,575,547,366
Vietnam,271,421,442,212,1342,1374,1313,1413,1313,875
Yemen,88,67,64,106,90,82,130,86,69,68
Zambia,24,22,22,25,45,63,49,49,50,31
Zimbabwe,26,32,41,44,72,80,74,88,63,48
All other countries,24,36,45,35,83,80,95,68,73,55
Unknown,23386,227,678,68,1022,600,937,775,914,697
